Year,Series,Units,Value
2010,Proporción de escuelas con acceso a electricidad,%,100.0
2011,Proporción de escuelas con acceso a electricidad,%,100.0
2025,Proporción de escuelas con acceso a electricidad,%,100.0
2022,Proporción de escuelas con acceso a electricidad,%,100.0
2018,Proporción de escuelas con acceso a electricidad,%,100.0
2014,Proporción de escuelas con acceso a electricidad,%,100.0
2016,Proporción de escuelas con acceso a electricidad,%,100.0
2013,Proporción de escuelas con acceso a electricidad,%,100.0
2012,Proporción de escuelas con acceso a electricidad,%,100.0
2024,Proporción de escuelas con acceso a electricidad,%,100.0
2017,Proporción de escuelas con acceso a electricidad,%,100.0
2023,Proporción de escuelas con acceso a electricidad,%,100.0
2021,Proporción de escuelas con acceso a electricidad,%,100.0
2020,Proporción de escuelas con acceso a electricidad,%,100.0
2019,Proporción de escuelas con acceso a electricidad,%,100.0
2015,Proporción de escuelas con acceso a electricidad,%,100.0
2011,Proporción de escuelas con conexión a internet,%,100.0
2013,Proporción de escuelas con conexión a internet,%,100.0
2016,Proporción de escuelas con conexión a internet,%,100.0
2019,Proporción de escuelas con conexión a internet,%,99.9
2021,Proporción de escuelas con conexión a internet,%,99.9
2017,Proporción de escuelas con conexión a internet,%,100.0
2014,Proporción de escuelas con conexión a internet,%,100.0
2012,Proporción de escuelas con conexión a internet,%,100.0
2010,Proporción de escuelas con conexión a internet,%,100.0
2023,Proporción de escuelas con conexión a internet,%,99.9
2015,Proporción de escuelas con conexión a internet,%,100.0
2013,Proporción de escuelas con baños separados por sexo,%,100.0
2012,Proporción de escuelas con baños separados por sexo,%,100.0
2021,Proporción de escuelas con baños separados por sexo,%,100.0
2010,Proporción de escuelas con baños separados por sexo,%,100.0
2018,Proporción de escuelas con baños separados por sexo,%,100.0
2016,Proporción de escuelas con baños separados por sexo,%,100.0
2015,Proporción de escuelas con baños separados por sexo,%,100.0
2014,Proporción de escuelas con baños separados por sexo,%,100.0
2017,Proporción de escuelas con baños separados por sexo,%,100.0
2019,Proporción de escuelas con baños separados por sexo,%,100.0
2025,Proporción de escuelas con baños separados por sexo,%,100.0
2020,Proporción de escuelas con baños separados por sexo,%,100.0
2022,Proporción de escuelas con baños separados por sexo,%,100.0
2011,Proporción de escuelas con baños separados por sexo,%,100.0
2023,Proporción de escuelas con baños separados por sexo,%,100.0
2024,Proporción de escuelas con baños separados por sexo,%,100.0
2014,Proporción de escuelas con suministro de agua potable,%,100.0
2011,Proporción de escuelas con suministro de agua potable,%,100.0
2010,Proporción de escuelas con suministro de agua potable,%,100.0
2012,Proporción de escuelas con suministro de agua potable,%,100.0
2024,Proporción de escuelas con suministro de agua potable,%,100.0
2013,Proporción de escuelas con suministro de agua potable,%,100.0
2016,Proporción de escuelas con suministro de agua potable,%,100.0
2015,Proporción de escuelas con suministro de agua potable,%,100.0
2020,Proporción de escuelas con suministro de agua potable,%,100.0
2022,Proporción de escuelas con suministro de agua potable,%,100.0
2017,Proporción de escuelas con suministro de agua potable,%,100.0
2018,Proporción de escuelas con suministro de agua potable,%,100.0
2019,Proporción de escuelas con suministro de agua potable,%,100.0
2021,Proporción de escuelas con suministro de agua potable,%,100.0
2023,Proporción de escuelas con suministro de agua potable,%,100.0
2025,Proporción de escuelas con suministro de agua potable,%,100.0
2010,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2011,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2014,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2012,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2013,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2015,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2016,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2024,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2020,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2017,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2018,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2019,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2021,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2022,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2023,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
2025,Proporción de escuelas con instalaciones para el lavado de manos,%,100.0
