Year,Value,Units,Series,Progress
2022,1.07,RO,EU_GPI_TRN,1.07
2011,1.17,RO,EU_GPI_TRN,1.17
2016,1.0,RO,EU_GPI_TRN,1.0
2022,0.6,RO,EU_SESPI,1.6666666666666667
2016,0.6,RO,EU_SESPI,1.6666666666666667
2011,0.64,RO,EU_SESPI,1.5625
2016,0.66,RO,EU_PI_HEALTH,1.5151515151515151
2022,0.7,RO,EU_PI_HEALTH,1.4285714285714286
2021,1.02,RO,EU_RUPI_TRN,1.02
2015,0.91,RO,EU_RUPI_TRN,1.0989010989010988
2014,0.91,RO,EU_RUPI_TRN,1.0989010989010988
2010,0.99,RO,EU_RUPI_TRN,1.0101010101010102
2019,0.9,RO,EU_RUPI_TRN,1.1111111111111112
2022,1.01,RO,EU_RUPI_TRN,1.01
2016,0.94,RO,EU_RUPI_TRN,1.0638297872340423
2018,0.88,RO,EU_RUPI_TRN,1.1363636363636365
2024,0.97,RO,EU_RUPI_TRN,1.0309278350515465
2017,0.92,RO,EU_RUPI_TRN,1.0869565217391304
2020,0.99,RO,EU_RUPI_TRN,1.0101010101010102
2013,0.93,RO,EU_RUPI_TRN,1.075268817204301
2012,0.98,RO,EU_RUPI_TRN,1.020408163265306
2011,0.96,RO,EU_RUPI_TRN,1.0416666666666667
2023,1.02,RO,EU_RUPI_TRN,1.02
