Year,Value,Units,Series,Progress
2022,1.07,Ratio,Gender parity index in completion of educational activities ,1.07
2011,1.17,Ratio,Gender parity index in completion of educational activities ,1.17
2016,1.0,Ratio,Gender parity index in completion of educational activities ,1.0
2022,0.6,Ratio,Income parity index in completion of educational activities (top and bottom quintiles),1.6666666666666667
2016,0.6,Ratio,Income parity index in completion of educational activities (top and bottom quintiles),1.6666666666666667
2011,0.64,Ratio,Income parity index in completion of educational activities (top and bottom quintiles),1.5625
2016,0.66,Ratio,Health parity index in completion of educational activities,1.5151515151515151
2022,0.7,Ratio,Health parity index in completion of educational activities,1.4285714285714286
2021,1.02,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.02
2015,0.91,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.0989010989010988
2014,0.91,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.0989010989010988
2010,0.99,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.0101010101010102
2019,0.9,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.1111111111111112
2022,1.01,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.01
2016,0.94,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.0638297872340423
2018,0.88,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.1363636363636365
2024,0.97,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.0309278350515465
2017,0.92,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.0869565217391304
2020,0.99,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.0101010101010102
2013,0.93,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.075268817204301
2012,0.98,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.020408163265306
2011,0.96,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.0416666666666667
2023,1.02,Ratio,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",1.02
